cluster-id,latitude,longitude,latitude-std,longitude-std,report-num,range,traffic-light,item
493,37.74869184,-122.4064535,0.000176478,0.000136787,49,19.06609788,0,加油站
502,37.77111509,-122.4680756,0.000436799,0.00060998,57,64.06346598,0,博物馆 广场
514,37.76450436,-122.4999072,3.93E-05,7.41E-05,39,7.16232903,0,
518,37.7377298,-122.4044484,0.000452537,0.000241805,51,43.81259724,0,停车场
519,37.77441229,-122.4052819,0.000494997,0.000284019,48,48.73135693,1,
524,37.74363821,-122.401253,9.23E-05,0.000120192,106,12.93875116,0,taxi 中心
546,37.771105,-122.4107914,4.62E-05,4.41E-05,36,5.452949422,0,
557,37.77826091,-122.4434827,0.000751446,0.000210524,33,66.63656793,1,
562,37.78561758,-122.4593818,0.0003325,0.000411851,33,45.19850315,1,
569,37.79652612,-122.427439,0.000561671,0.000632328,49,72.21958661,1,
576,37.7770365,-122.4559135,0.00020415,0.000188983,60,23.75500596,0,
611,37.75577333,-122.42988,0.000287661,0.000303456,36,35.70428293,1,
617,37.7544483,-122.4656872,0.000145054,4.97E-05,47,13.0924865,0,范围内没有红绿灯，但是前方有红绿灯
618,37.75874129,-122.4316784,3.08E-05,3.79E-05,31,4.170662467,0,
644,37.73997294,-122.4667502,0.000545646,0.00059415,51,68.88296172,1,
646,37.73225349,-122.4056228,0.000208171,0.000300013,83,31.18118307,1,
647,37.77841759,-122.4953543,6.92E-05,3.85E-05,108,6.759069718,0,
770,37.7647873,-122.4027516,0.000153779,0.000186272,37,20.62576764,1,
785,37.78320674,-122.4708884,0.000484221,0.000137251,43,42.97653019,0,范围内没有红绿灯，但是前方有红绿灯
804,37.74484625,-122.4246263,0.00017279,0.000124764,32,18.19880686,1,
845,37.73450571,-122.4130887,7.15E-05,6.19E-05,70,8.074011255,0,范围内没有红绿灯，但是前方有红绿灯
937,37.70190911,-122.4865325,0.000101457,0.000192704,158,18.59629305,0,
953,37.73002829,-122.4422007,0.000115583,0.000192761,41,19.19214353,1,
1085,37.78386919,-122.4869578,7.86E-05,6.17E-05,37,8.533100154,1,
1172,37.71412483,-122.4731122,0.000146829,0.000321357,58,30.16927531,0,
1281,37.70149296,-122.4148376,3.70E-05,4.35E-05,54,4.874516515,0,停车场
1409,37.73598074,-122.4472348,4.26E-05,3.63E-05,54,4.783429557,0,
